Flux	Value
R_TX_OCDCEA	0.00212097777492393
R_PlsC7	0.00106048888746197
R_PlsC6	0
R_TX_oxo2dA	0
R_TX_oxo8dA	0
R_TX_oxo8dG	0
R_TX_oxoethyl7dG	0
R_Upp	0
R_TX_PSIURI	0
R_TX_putdT	0
R_TXPYDX	9.50367425821276E-05
R_RpiB	0.0110780545157966
R_Tkt1	-0.00553902725789604
R_TX_RIBFLV	0.000190073485164255
R_Rpe	-0.0110780545157897
R_TX_s2U	0
R_TX_s4U	0
R_TpiA	3.88773653762055
R_PlsC3	0
R_PlsC2	0
R_TX_THF	0.000413715517617361
R_TX_TTDCA	0
R_TX_TTDCEA	0
R_GalE	-0.00064554506367187
R_Glf	0.00064554506366933
R_TX_Um	-0.00462673907037006
R_UTPix	0
R_Ohr_rx	0
R_OsmC_rx	0
R_Bmssex	-0.0785086533471863
R_gamma_radiationex	0
R_A23CMPex	0
R_A3MPex	0
R_ACex	-7.76953984447228
R_ACALex	-0.0225027520474548
R_ACCOAex	0
R_acriflavineex	0
R_ACTPex	0
R_ADex	-0.0114868119935841
R_ADNex	0
R_ADPex	0
R_AEPPex	0
R_AHCYSex	0
R_AKGex	0
R_ALAex	0
R_AlaAlaex	0.0130686029557093
R_AMETex	0
R_aminodimethylanilineex	0
R_HinT_AMP_Lysine_MG132	0
R_HinT_AMP_Mor_MG132	0
R_HinT_AMP_NH2_MG132	0
R_AMPex	0
R_AMP_Lysineex	0
R_AMP_Morex	0
R_AMP_NH2ex	0
R_anthranilateex	0
R_ARGex	0
R_ArgArgex	0.00720604019447492
R_ASNex	0
R_AsnAsnex	0.0149662537570392
R_ASPex	0
R_AspAspex	0.0101321499767372
R_ATPex	0
R_aza6dTex	0
R_aza6dTMPex	0
R_aza8dAex	0
R_aza8dAMPex	0
R_benzalkoniumex	0
R_berberineex	0
R_LIPASE_DIBUTYRIN_MG310	0
R_LIPASE_DIBUTYRIN_MG327	0
R_LIPASE_DIBUTYRIN_MG344	0
R_LIPASE_MONOBUTYRIN_MG310	0
R_LIPASE_MONOBUTYRIN_MG327	0
R_LIPASE_MONOBUTYRIN_MG344	0
R_LIPASE_TRIBUTYRIN_MG310	0
R_LIPASE_TRIBUTYRIN_MG327	0
R_LIPASE_TRIBUTYRIN_MG344	0
R_BUTex	0
R_C23CMPex	0
R_C3MPex	0
R_c5dUex	0
R_c5dUMPex	0
R_CAex	0.00036142906859924
R_CAPex	0
R_carbamoylmethyl6dAex	0
R_carbamoylmethyl6dAMPex	0
R_CDPex	0
R_CDPDG120ex	0
R_CDPDG140ex	0
R_CDPDG141ex	0
R_CDPDG160ex	0
R_CDPDG161ex	0
R_CDPDG180ex	0
R_CDPDG181ex	0
R_Ceramide16ex	0
R_LIPASE_METHYL_OCDCEA_MG310	0
R_LIPASE_METHYL_OCDCEA_MG327	0
R_LIPASE_METHYL_OCDCEA_MG344	0
R_CH3OHex	0
R_chloroacetaldehydeex	0
R_chloroethylene_oxideex	0
R_CHOLex	0
R_CHPex	0
R_ciprofloxacinex	0
R_CITRex	0
R_CLex	0.000361429068604475
R_CL160ex	0
R_CL161ex	0
R_CL181ex	0
R_cmnm5s2Uex	0
R_cmnm5s2UMPex	0
R_CMPex	0
R_COex	0.000240952162397228
R_CO2ex	-7.76965863961045
R_COAex	0.000190072379815911
R_crystalVioletex	0
R_CTPex	0
R_CUex	0.000240952162397228
R_cyclobutane_dCdCex	0
R_cyclobutane_dCdTex	0
R_cyclobutane_dCMPdCMPex	0
R_cyclobutane_dCMPdTMPex	0
R_cyclobutane_dTdCex	0
R_cyclobutane_dTdTex	0
R_cyclobutane_dTMPdCMPex	0
R_cyclobutane_dTMPdTMPex	0
R_cyclodAex	0
R_cyclodAMPex	0
R_cyclodGex	0
R_cyclodGMPex	0
R_CYSex	0
R_CysCysex	0.0023951574784671
R_CYTDex	0.0213090277281192
R_c_di_AMPex	0
R_DAex	0.0348351126715305
R_DADPex	0
R_DAG160ex	0
R_DAG161ex	0
R_DAG181ex	0
R_DALAex	0
R_DAMPex	0
R_dApdApex	0
R_DATPex	0
R_DCex	0
R_dC64dCex	0
R_dC64dC_dewarex	0
R_dC64dTex	0
R_dC64dT_dewarex	0
R_DCDPex	0
R_DCMPex	0
R_dCMP64dCMPex	0
R_dCMP64dCMP_dewarex	0
R_dCMP64dTMPex	0
R_dCMP64dTMP_dewarex	0
R_dCMP_GLYCex	0
R_dCpdCpex	0
R_DCTPex	0
R_dC_GLYCex	0
R_LIPASE_TRILAURIN_MG310	0
R_LIPASE_TRILAURIN_MG327	0
R_LIPASE_TRILAURIN_MG344	0
R_DDCAex	0
R_DDECG3Pex	0
R_deoxyG6Pex	0
R_deoxyGLCex	0
R_DGex	0
R_DGDPex	0
R_DGMPex	0
R_dGpdGpex	0
R_DGTPex	0
R_DHAex	0
R_DHdTex	0
R_DHdTMPex	0
R_DHdUex	0
R_DHdUMPex	0
R_DHFex	0
R_dhpdUex	0
R_dhpdUMPex	0
R_diacylglycerolCysex	0
R_DIBUTYRINex	0
R_dINSex	0
R_dINSMPex	0
R_DMBAex	0
R_doxorubicinex	0
R_DPCOAex	0
R_DPGex	0
R_DR1Pex	0
R_DR5Pex	0
R_DTex	0
R_dT64dCex	0
R_dT64dC_dewarex	0
R_dT64dTex	0
R_dT64dT_dewarex	0
R_DTDPex	0
R_DTMPex	0
R_dTMP64dCMPex	0
R_dTMP64dCMP_dewarex	0
R_dTMP64dTMPex	0
R_dTMP64dTMP_dewarex	0
R_dTMP_GLYCex	0
R_dTpdTpex	0
R_DTTPex	0
R_dT_GLYCex	0
R_DUex	0
R_DUDPex	0
R_DUMPex	0
R_DUTPex	0
R_dXANex	0
R_dXANMPex	0
R_e1dAex	0
R_e1dAMPex	0
R_e1dGex	0
R_e1dGMPex	0
R_e3dAex	0
R_e3dAMPex	0
R_e3dCex	0
R_e3dCMPex	0
R_e3dGex	0
R_e3dGMPex	0
R_e3dTex	0
R_e3dTMPex	0
R_e4dCex	0
R_e4dCMPex	0
R_E4Pex	0
R_e5dCex	0
R_e5dCMPex	0
